# generated-by: python -m ebr normalize --spec research/baselines/specs/EXP-BASE-SIZE-small.yaml --include-incomplete
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: ab31252312efde894207d1dacdd421d54c7f9e97
# experiment: EXP-BASE-SIZE
# input: research/raw/EXP-BASE-SIZE/20260917T031201Z-e86b28.jsonl sha256=None
# input: research/raw/EXP-BASE-SIZE/size-small-20260917T033541Z.jsonl.gz sha256=d579b69af1eb5c5200a81e933dc563313708ae9ac27cacfbd39b26621d92f6f0
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,metric,family,unit,unit_of_analysis,decision_grade,n_units,n_items,median,p90,p95,iqr,mad,geomean,ci_lower,ci_upper,ci_confidence,ci_status
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,dwarfs-l9,output_bytes,size,B,item_median,True,27,27,2449344,9657144.2,12180195.6,3608549,1812824,2155240.138,989258,4416193,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zpaq-m5,output_bytes,size,B,item_median,True,24,24,2103467.5,9808904.4,12288534.7,3121300.5,1575741,2139602.989,966850,4403365.5,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-9,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-zip-9,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-gzip-6,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-gzip-9,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-pigz-9-t1,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-pigz-9-tN,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-3-t1,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-19-t1,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-19-tN,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-22-ultra-long27-t1,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarxz-6,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarxz-9e,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarxz-pixz,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarlz4-1,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarbrotli-q11,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx5-solid,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx9-solid,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx9-nosolid,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,squashfs-zstd,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,squashfs-xz,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,wim-lzx,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,wim-lzms-solid,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,borg-repo,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,restic-repo,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,dwarfs-l7,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,dwarfs-l9,input_bytes,size,B,item_median,True,27,27,9278065,14677163.6,15508001,4320220.5,2234364,8266519.619,7135147,10819211,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zpaq-m5,input_bytes,size,B,item_median,True,24,24,9590561.5,15026526.8,15536310.5,4850319.25,2432465.5,8723536.255,7251944,12146050,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-6,ratio,size,,item_median,True,27,27,0.4601730151,0.9469586842,0.9867649569,0.4919317135,0.2111543085,0.4618989628,0.2919063757,0.735376335,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,zip-9,ratio,size,,item_median,True,27,27,0.4598965773,0.9468527092,0.9867628565,0.4947005262,0.215349509,0.4577509724,0.2862947672,0.7345786178,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-zip-9,ratio,size,,item_median,True,27,27,0.4343558265,0.940708042,0.9836884541,0.4917819924,0.2044272188,0.4435459511,0.272887571,0.7224395279,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-gzip-6,ratio,size,,item_median,True,27,27,0.4262004693,0.9468589205,0.9867514346,0.5006832784,0.2299255936,0.441691554,0.2803617538,0.7353869528,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-gzip-9,ratio,size,,item_median,True,27,27,0.4236036062,0.94674099,0.9867324038,0.5020480629,0.2333782964,0.4375459281,0.2782113844,0.7345892357,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-pigz-9-t1,ratio,size,,item_median,True,27,27,0.4226951456,0.9474333273,0.9869836624,0.5015982315,0.2300390425,0.4372391502,0.2777389307,0.7344626489,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,targz-pigz-9-tN,ratio,size,,item_median,True,27,27,0.4226951456,0.9474333273,0.9869836624,0.5015982315,0.2300390425,0.4372391502,0.2777389307,0.7344626489,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-3-t1,ratio,size,,item_median,True,27,27,0.3339360706,0.9528818846,0.9903618522,0.5333206079,0.1511328322,0.3524946441,0.2195802403,0.7182275933,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-19-t1,ratio,size,,item_median,True,27,27,0.2738384299,0.9311730552,0.9817683266,0.5011331838,0.1315540006,0.275333835,0.1625153072,0.6246404375,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-19-tN,ratio,size,,item_median,True,27,27,0.2738384299,0.9311730552,0.9817683266,0.5011331838,0.1315540006,0.275333835,0.1625153072,0.6246404375,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarzstd-22-ultra-long27-t1,ratio,size,,item_median,True,27,27,0.2737216084,0.9310925144,0.9817236338,0.5019781462,0.1316291851,0.2747426296,0.161514576,0.6250693336,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarxz-6,ratio,size,,item_median,True,27,27,0.241083811,0.929291607,0.980181625,0.4155791222,0.1484233109,0.2622845951,0.1591039164,0.5294577449,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarxz-9e,ratio,size,,item_median,True,27,27,0.2416732156,0.9291987479,0.9801972023,0.4173246072,0.1479262855,0.2610563113,0.1572849193,0.5301973982,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarxz-pixz,ratio,size,,item_median,True,27,27,0.2410911304,0.9293150936,0.9802154817,0.4151032692,0.1484859758,0.2630212868,0.1600347455,0.5294648252,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,tarlz4-1,ratio,size,,item_median,True,27,27,0.6656501961,0.9922709214,0.9989631353,0.4794885261,0.2565397991,0.5906375039,0.4305656465,0.8622679003,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
